"","l2fc","fg_exprs","bg_exprs"
"TMEM60",-0.204797772318072,3.25058012622499e-05,3.76162662951155e-05
"PHTF2",1.12535039675931,2.84724527600405e-05,1.25098975365804e-05
"RP5-1185I7.1",-1.01263021422327,3.32377793237619e-07,1.68818686479805e-06
"MAGI2",-0.804911958448331,2.16605752896426e-07,1.12545790986537e-06
"MAGI2-AS1",0,0,0
"MAGI2-AS2",0,0,0
"RP5-1093G23.1",0,0,0
"GNAI1",-2.05689587962703,1.54985150779339e-06,9.60967907654274e-06
"AC003988.1",0,0,0
"AC004862.6",0.00537782712473051,3.7345819464901e-09,0
"CD36",1.39513259187001,2.87264043324019e-05,1.03022685595368e-05
"GNAT3",0,0,0
"SEMA3C",-1.57015778541518,8.15632697113439e-06,2.61885398257133e-05
"AC005008.2",0,0,0
"AC008163.4",0,0,0
"AC010091.1",-0.0611358689104228,0,4.32868426871295e-08
"HGF",1.15821766923504,2.58433070697115e-06,6.06015797619812e-07
"CACNA2D1",-0.618888603838677,1.86729097324505e-07,8.2245001105546e-07
"AC006145.4",0.00537782712473051,3.7345819464901e-09,0
"PCLO",-2.35598922571011,7.46916389298021e-08,4.50183163946146e-06
"AC079799.2",0,0,0
"SEMA3E",-2.14258941890824,5.97533111438416e-08,3.679381628406e-06
"SEMA3A",-2.88266979858783,1.97932843163975e-07,7.83491852637043e-06
"AC003984.1",0,0,0
"AC074183.4",-0.658958557709881,2.91297391826228e-07,1.03888422449111e-06
"SEMA3D",0.134258555479813,2.87562809879738e-07,1.73147370748518e-07
"LINC00972",0,0,0
"GRM3",0.0735910559702565,2.80093645986758e-07,2.16434213435647e-07
"AC005009.1",0.00537782712473051,3.7345819464901e-09,0
"AC005009.2",0.0266908844186505,1.86729097324505e-08,0
"KIAA1324L",-1.00595213534774,6.83428496207689e-07,2.38077634779212e-06
"CTA-254O6.1",0.0107356821482897,7.46916389298021e-09,0
"AC005076.5",-0.323763076783631,1.63201231061618e-06,2.29420266241786e-06
"DMTF1",-0.0845516400608449,1.34146183517925e-05,1.42846580867527e-05
"TMEM243",0.411505748430645,8.13952135237518e-05,6.09478745034783e-05
"TP53TG1",-1.41778711415626,2.19107922800574e-05,6.02119981777971e-05
"CROT",-1.04055507674308,4.81014154707925e-06,1.09515711998438e-05
"ABCB4",0.442909976984481,6.53551840635768e-07,2.16434213435647e-07
"ABCB1",1.59729620085702,3.07356094196136e-06,3.46294741497036e-07
"RUNDC3B",-0.515818319443259,1.23241204234173e-07,6.06015797619812e-07
"SLC25A40",0.13994432555238,8.92565085211135e-06,8.00806589711895e-06
"DBF4",0.0864959626300514,1.55507992251848e-05,1.45876659855626e-05
"ADAM22",-0.410248900077344,3.06235719612188e-07,7.35876325681201e-07
"SRI",-1.54923231866461,0.000117150101079448,0.000344779702002986
"CTB-167B5.1",0.037230491885315,2.61420736254307e-08,0
"AC003991.3",-0.584208188488934,1.86729097324505e-07,7.7916316836833e-07
"STEAP4",-4.74406068409708,2.74118314872374e-06,9.92567302815878e-05
"AC002127.4",0,0,0
"ZNF804B",0,0,0
"C7orf62",0,0,0
"AC002383.2",0,0,0
"RP5-1121E10.2",-0.146655782046478,5.97533111438416e-08,1.73147370748518e-07
"STEAP1",-4.78710337715436,2.76359064040268e-07,3.42398925655194e-05
"STEAP2",-4.15155421197763,1.15772040341193e-07,1.88297765689013e-05
"CFAP69",-2.20309413603484,1.00833712555233e-07,4.06896321259017e-06
"AC002064.4",0,0,0
"AC002064.5",0,0,0
"GTPBP10",-0.828727185855206,5.68029914061145e-06,1.08649975144695e-05
"CLDN12",-3.10594836016462,1.44901779523816e-06,2.00850950068281e-05
"CDK14",0.957551999056695,7.66709673614418e-06,3.46294741497036e-06
"AC002456.2",0.568842447149619,6.75959332314709e-07,1.29860528061388e-07
"FZD1",-1.39419956510971,2.22954542205459e-06,7.4886237848734e-06
"RP11-115N4.1",-0.0773144517459684,2.98766555719208e-08,8.65736853742589e-08
"RP11-142A5.1",0,0,0
"CTB-111F10.1",0,0,0
"MTERF1",-0.408958249591964,4.44788709826971e-06,6.23330534694664e-06
"AKAP9",-0.711607001705615,8.53053208217269e-05,0.000140335943991674
"CYP51A1",-0.763179475954149,6.34878930903318e-07,1.77476055017231e-06
"LRRD1",0.117422524720948,2.72624482093778e-07,1.73147370748518e-07
"CYP51A1-AS1",-0.23420367636681,7.0957056983312e-08,2.59721056122777e-07
